Mandi_Name-Agmark,District_ID,District_Name-Agmark,State_Name
Sarona,2308.0,Kanker,Chattisgarh
Akaltara,2311.0,Janjgir,Chattisgarh
Amadula,2311.0,Janjgir,Chattisgarh
Baloda(Janjgir Campus),2311.0,Janjgir,Chattisgarh
Baradwar,2311.0,Janjgir,Chattisgarh
Birra,2311.0,Janjgir,Chattisgarh
Champa,2311.0,Janjgir,Chattisgarh
Chandrapur,2311.0,Janjgir,Chattisgarh
Hasoad,2311.0,Janjgir,Chattisgarh
Jaijaipur,2311.0,Janjgir,Chattisgarh
Kotmi,2311.0,Janjgir,Chattisgarh
Naila,2311.0,Janjgir,Chattisgarh
Rahod,2311.0,Janjgir,Chattisgarh
Sapti,2311.0,Janjgir,Chattisgarh
Shakti,2311.0,Janjgir,Chattisgarh
Shivrinarayanpur,2311.0,Janjgir,Chattisgarh
Baikunthpur,2314.0,Koria,Chattisgarh
Manendragarh,2314.0,Koria,Chattisgarh
Narayanpur,2318.0,Narayanpur,Chattisgarh
Bemetara,2320.0,Bemetara,Chattisgarh
Bemetara(Darhi),2320.0,Bemetara,Chattisgarh
Bemetara(Navagarh),2320.0,Bemetara,Chattisgarh
Bemetara(Thankhamaria),2320.0,Bemetara,Chattisgarh
Berla,2320.0,Bemetara,Chattisgarh
Dadhi,2320.0,Bemetara,Chattisgarh
Saja,2320.0,Bemetara,Chattisgarh
Sambalpur (Bemetra),2320.0,Bemetara,Chattisgarh
Lormi,2321.0,Mungeli,Chattisgarh
Munguli,2321.0,Mungeli,Chattisgarh
Pathriya,2321.0,Mungeli,Chattisgarh
Sargaon,2321.0,Mungeli,Chattisgarh
Balodabazar,2322.0,Balodabazar,Chattisgarh
Bhatapara,2322.0,Balodabazar,Chattisgarh
Bhatgaon,2322.0,Balodabazar,Chattisgarh
Kasdol,2322.0,Balodabazar,Chattisgarh
Palari,2322.0,Balodabazar,Chattisgarh
Pangaon,2322.0,Balodabazar,Chattisgarh
Sarsiwan,2322.0,Balodabazar,Chattisgarh
Simga,2322.0,Balodabazar,Chattisgarh
Chura,2323.0,Gariyaband,Chattisgarh
Devbhog,2323.0,Gariyaband,Chattisgarh
Gariyaband,2323.0,Gariyaband,Chattisgarh
Phingeshwer,2323.0,Gariyaband,Chattisgarh
Rajim,2323.0,Gariyaband,Chattisgarh
Bededonger,2324.0,Kondagaon,Chattisgarh
Chhinari,2324.0,Kondagaon,Chattisgarh
Dhanora,2324.0,Kondagaon,Chattisgarh
Gamhari,2324.0,Kondagaon,Chattisgarh
Hirapur,2324.0,Kondagaon,Chattisgarh
Keshkal,2324.0,Kondagaon,Chattisgarh
Kondagoan,2324.0,Kondagaon,Chattisgarh
Makdi,2324.0,Kondagaon,Chattisgarh
Mardapal,2324.0,Kondagaon,Chattisgarh
Pharasgaon,2324.0,Kondagaon,Chattisgarh
Vishrampur,2324.0,Kondagaon,Chattisgarh
Doranpal,2325.0,Sukma,Chattisgarh
Konta,2325.0,Sukma,Chattisgarh
